nom	sources	episodes	connaissances	limites	carte
Amulette protectrice d'Anton et de P. Russell	Protection_Amulet	S02E14	Amulette liée à Anton et P. Russell, puis à l'histoire de Phoebe dans Pardon My Past. Elle protège contre une magie de sorcières, notamment la malédiction concernée par l'épisode. Le retrait de l'amulette modifie l'efficacité de cette protection lors des échanges entre passé et présent.	Le récit de 1924 et les corps concernés sont essentiels. Ne pas inférer un rayon protecteur collectif ou une résistance à toute magie démoniaque. Les transferts de corps relèvent aussi de formules distinctes.	Amulette protégeant son porteur contre la magie de sorcières, notamment la malédiction rencontrée dans Pardon My Past.
Amulettes jumelles de Leeza et Janna	Magical_Amulets	S03E20	Deux amulettes complémentaires confiées à des sorcières. Chacune procure une protection et gêne la localisation. Leur réunion avec une formule est présentée comme donnant une protection supérieure. Belthazor parvient à franchir la défense d'une amulette isolée.	L'invincibilité annoncée pour l'ensemble n'est pas une démonstration face à toutes les attaques. Ne pas confondre moitié, paire et rite accompli. Le devenir matériel final n'est pas suffisamment établi pour affirmer leur destruction.	Deux amulettes complémentaires de protection. Leur efficacité dépend de leur réunion et du rituel associé ; une amulette isolée possède déjà une défense limitée.
Amulettes de chasse aux sorcières de Jackman	Witch_Hunter_Amulets	S04E22	Jackman utilise des amulettes contre la magie des sorcières, sur lui puis disposées autour du manoir. Elles entravent les sœurs mais pas l'intervention démoniaque de Cole. Leur retrait du périmètre permet de mettre fin à l'entrave.	La protection contre les sorcières n'est pas une annulation de toute magie. Les commentaires du wiki sur ce que l'orbing de Paige aurait dû permettre sont des interprétations, pas une correction de la scène.	Amulettes capables d'entraver la magie des sorcières, portées ou disposées autour d'un périmètre. Leur effet ne couvre pas toute magie démoniaque.
Œil d'Aghbar	Eye_of_Aghbar	S06E15	Amulette protectrice portée par Bosk. Elle le préserve de la magie et des potions essayées par les sorcières. La boule de feu de Jinny détruit Bosk et l'amulette.	Le contre-exemple démoniaque interdit une immunité universelle. Après la destruction de l'exemplaire montré, sa présence dans un scénario ultérieur exigerait une provenance explicite.	Amulette protectrice contre la magie des sorcières et leurs potions. Cette protection ne résiste pas à la boule de feu démoniaque montrée dans I Dream of Phoebe.
Evil Eye — talisman de Nicolae	The_Evil_Eye	S05E06	Talisman qui amplifie et canalise les pouvoirs de son utilisateur. L'histoire de Nicolae et Lydia comporte un usage offensif ; Phoebe développe une expérience de prémonition astrale en lien avec le talisman et le déblocage de ses prémonitions. Ava en devient gardienne.	Distinguer l'amplification des capacités du porteur d'une liste de pouvoirs automatiquement attribués à tous. Ne pas confondre cet objet avec le pouvoir de Javna nommé Evil Eye. Le contexte culturel est celui de la fiction.	Talisman amplifiant et canalisant les capacités magiques de son utilisateur. Son effet dépend des pouvoirs qu'il peut mobiliser.
Amulette de Sarpedon	Sarpedon%27s_Amulet	S07E07	Sarpedon capture des anges gardiens dans une amulette afin de profiter de leur guidance et de leur protection. Phoebe s'empare de l'objet, le privant de cet avantage ; les gardiens peuvent être libérés.	Ces anges gardiens ne sont pas assimilables aux Êtres de lumière. Ne pas attribuer une invulnérabilité absolue ni une capacité infinie. Le devenir final de l'amulette reste moins documenté que celui de ses captifs.	Amulette capable de retenir des anges gardiens et de canaliser leur guidance protectrice. Les gardiens enfermés peuvent être libérés.
Pendentif de Valkyrie	Valkyrie_Pendant	S06E01 S06E02	Pendentif utilisé pour accéder à Valhalla et prendre l'apparence ou l'état de Valkyrie. L'expérience de Piper s'accompagne d'un effacement affectif et d'une perte d'attaches, dans le contexte de sa souffrance. Ses capacités antérieures ne disparaissent pas toutes.	Ne pas transposer toute la psychologie de Piper à chaque porteuse. Accès au lieu, transformation et capacités propres restent distincts. Ni un effacement universel immédiat des émotions ni une suppression totale des pouvoirs n'est établi.	Pendentif lié aux Valkyries, permettant l'accès à Valhalla et une transformation de sa porteuse.
Totem des trois singes	Monkey_Totem	S05E20	Totem de Kheel détourné par la Crone. Un singe s'anime pour voler la vue de Piper, l'ouïe de Phoebe et la voix de Paige ; les pertes se manifestent lorsqu'elles en ont besoin. La Crone exploite les sens dérobés avec sa propre magie. La destruction finale accompagne leur restitution.	Ne pas confondre voix et totalité de la communication. L'utilisation des sens par la Crone ne confère pas automatiquement ses perceptions à tout détenteur du totem. La séquence d'activation requiert davantage qu'une simple proximité.	Totem capable de dérober la vue, l'ouïe et la voix par l'intermédiaire d'un singe animé.
Talisman chinois contre les esprits	Chinese_Talisman	S01E04	Talisman posé à une entrée pour écarter les esprits. Mark, pourtant allié, ne peut franchir la protection chez Tony tant que Piper ne retire pas le talisman.	La protection n'est pas limitée aux esprits hostiles. Ce précédent n'établit pas une barrière contre les démons, les êtres vivants ou toutes les entités surnaturelles.	Talisman placé à une entrée pour empêcher le passage des esprits, y compris d'un esprit bienveillant.
Talismans de Ruth Cobb	All_Halliwell%27s_Eve;Broomstick	S03E04	En 1670, Ruth Cobb utilise des talismans qui détectent ou repoussent les sorcières. Phoebe mobilise un balai enchanté pour faire tomber ces protections.	Le contexte de Samhain et l'enchantement du balai doivent être conservés. Ne pas attribuer ce contournement à n'importe quel balai ni étendre les talismans à toutes les espèces magiques.	Talismans employés par Ruth Cobb pour détecter ou repousser les sorcières.
Talisman du sorcier-guérisseur	Witch_Doctor%27s_Talisman	S05E13	Objet utilisé par le Witch Doctor de House Call pour retirer et recueillir les résidus maléfiques accumulés au manoir après les attaques.	Le sort qui amplifie les obsessions des sœurs est une autre action du personnage. Posséder ce talisman ne suffit pas à disposer de ce sort. Capacité de stockage et catégories exactes d'entités capturables non établies.	Talisman utilisé pour retirer et recueillir les résidus maléfiques d'un lieu.
Baguette de Tuatha	Tuatha%27s_Wand	S02E06	Baguette liée à Tuatha et à Kyle, l'Élu capable de la vaincre. Elle canalise l'intention ; la confiance de Kyle compte dans son utilisation. L'ambre de la baguette se brise à l'issue de la confrontation et l'objet perd sa magie.	Ne pas en faire une machine réalisant tout souhait pour tout porteur. L'objet intact et sa version privée de magie ne sont pas interchangeables. La prétendue potion de courage ne constitue pas une propriété de la baguette.	Baguette canalisant l'intention, liée à Tuatha et à l'Élu. Sa magie dépend notamment de l'intégrité de son ambre.
Baguette de Gammill	Gammill;Size_Matters/Plot	S04E05	Gammill emploie une baguette alimentée par l'électricité pour miniaturiser ses victimes et réduire leur puissance. Une attaque de Piper peut fournir l'énergie nécessaire. Les sœurs utilisent ensuite le dispositif contre Gammill ; sa destruction accompagne leur retour à la taille normale.	La réduction des pouvoirs n'est pas une suppression absolue. Ne pas supposer un rayon inverse universel ni attribuer la croissance spontanée à toute manipulation de la baguette. L'espèce exacte de Gammill n'est pas établie ici.	Baguette activée par une énergie électrique, capable de miniaturiser une cible et d'affaiblir ses pouvoirs.
Baguette de Rathmere	Rathmere%27s_Wand	S06E18	Baguette conservée à l'École de magie et liée à Rathmere. Une tentative de retrouver son propriétaire par son intermédiaire échoue ; Rathmere est mort.	L'objet est nommé et rattaché à un détenteur, mais ses effets propres ne sont pas décrits avec assez de précision. Ne pas lui attribuer tous les sorts de Rathmere ou une capacité offensive inventée. Fiche d'identification, pas ressource à pouvoirs établis.	Baguette ayant appartenu à Rathmere et conservée à l'École de magie. Ses propriétés propres restent à documenter.
Excalibur	Excalibur	S06E08 S06E23	Épée dont Wyatt est présenté comme le détenteur légitime. Piper la retire temporairement du rocher ; un détenteur illégitime risque d'être corrompu. Piper décide de la remettre dans la pierre jusqu'à ce que Wyatt soit prêt.	Cette décision maternelle n'est pas une interdiction magique universelle avant la majorité. L'image de Wyatt liée à la peur en fin S06 n'établit pas à elle seule une histoire réelle de l'épée. Exclure l'Empyreal Sword et les développements des comics.	Épée liée au destin de Wyatt, son détenteur légitime. Sa puissance et les risques de corruption dépendent de celui qui la manie.
Lame du Dragon	Dragon_Blade	S04E04 S06E10	Arme employée dans Enter the Demon pour retirer et retenir une âme. Paige récupère l'âme de Piper par télékinésie orbitale. Yen Lo est capturé ; le Maître emporte l'arme vers le passage de réincarnation.	Le pouvoir de récupération de Paige n'appartient pas à l'arme. Une pièce exposée dans le futur de Chris-Crossed pourrait être un exemplaire apparent ou une réplique : continuité matérielle incertaine. Ne pas déclarer l'arme détruite faute de retour montré.	Lame capable de retirer et de retenir une âme, distincte du corps de sa victime.
Épée de cristal de Gabriel	Crystal_Sword	S01E16	Arme de Gabriel Statler, Seigneur de la guerre, associée à l'absorption d'âmes et de leurs qualités. Gabriel peut l'appeler ; la protection décrite contre les armes humaines dépend de son usage. Sa propre épée finit par le tuer et disparaît avec lui.	Ne pas attribuer automatiquement l'ensemble de la nature de Gabriel à tout porteur. Le précédent de Brianna, qui l'en avait séparé, montre l'importance de distinguer être armé et être désarmé.	Épée de cristal liée à Gabriel, capable d'absorber des âmes et de renforcer son détenteur dans les conditions décrites pour lui.
Athamé absorbant les pouvoirs	Power-Sucking_Athame;Witch_Wars_%28episode%29/Plot	S06E21	Les participants de Witch Wars utilisent un athamé qui absorbe des pouvoirs et peut les transmettre à son porteur. Phoebe reçoit ainsi des pouvoirs démoniaques, qui affectent son comportement. Paige les retire en la poignardant avec l'athamé, Leo étant prêt à la soigner.	Une description centrée sur les victimes tuées ne prouve pas que leur mort est toujours nécessaire : Phoebe survit. Ne pas conclure non plus que chaque simple contact extrait tous les pouvoirs. Cet athamé est distinct d'une lame rituelle ordinaire.	Athamé capable d'absorber des pouvoirs et de les transmettre à son porteur. Des pouvoirs démoniaques absorbés peuvent altérer son comportement.
Athamé maudit des pirates	Cursed_Athame	S07E04	Lame de Black Jack dont une blessure entraîne un vieillissement accéléré. Brenda succombe ; Paige et les pirates sont concernés par la malédiction. L'eau de la Fontaine de Jouvence intervient dans son renversement.	Distinguer vieillissement, durée de vie et immortalité des pirates. L'exemple d'un remède ne prouve ni que toute eau agit ni que tout autre moyen serait impossible. Ne pas confondre avec l'athamé de Witch Wars.	Lame maudite dont les blessures provoquent un vieillissement accéléré.
Athamé enchanté de Gideon	Athame	S06E23	Gideon prépare une lame pour franchir la protection de Wyatt. Dans la confrontation, elle blesse mortellement Chris.	La fonction vise la défense de Wyatt dans cette intrigue : ne pas généraliser à toutes les barrières. Aucun pouvoir de vieillissement ou de collecte des pouvoirs n'est établi pour cette lame. L'Ancient Athame des comics est un autre objet.	Lame enchantée par Gideon pour pénétrer la protection de Wyatt.
Cœur en étain de Melinda	Pewter_Heart	S01E09	Médaillon-prison dans lequel Melinda enferme Matthew. Prue, descendante de Melinda, le libère en ouvrant le cœur. Le nouvel enfermement nécessite les moyens magiques de Melinda ; le cœur repart avec elle.	La fermeture matérielle seule ne suffit pas à établir un pouvoir de capture générique. Distinguer l'ouverture par la lignée concernée de toute ouverture par n'importe qui. Disponibilité après l'épisode à justifier.	Cœur en étain ayant servi de prison magique à Matthew, lié à Melinda Warren et à sa descendance.
Urne égyptienne maudite	Egyptian_Urn	S01E11	Urne volée associée à une malédiction et à sa gardienne. Les voleurs sont poursuivis ; le geste désintéressé de Clay protégeant Phoebe change son sort. L'urne est destinée à être rendue au musée du Caire.	La propriété concerne la malédiction du vol et la cupidité, pas un pouvoir librement accordé au porteur. Ne pas confondre avec l'urne de pouvoirs divins de S05.	Urne égyptienne protégée par une malédiction liée au vol et à la cupidité, avec une gardienne surnaturelle.
Lanterne de collecte des pouvoirs	Magical_Lantern	S01E10	Lanterne utilisée pour recueillir les pouvoirs abandonnés par les sœurs dans Wicca Envy. La cession dépend d'une formule ; le rétablissement du Livre avec l'aide de Leo participe à leur retour.	La présence de la lanterne ne prouve pas une absorption passive à distance. Réutilisation, capacité maximale et procédure exacte de transfert à un autre porteur restent à vérifier.	Lanterne servant de réceptacle à des pouvoirs cédés par une formule.
Bouteilles de génie	Genie_Bottle	S02E22 S06E15	Deux intrigues présentent des bouteilles associées à un génie et à trois vœux. Le génie peut exploiter la formulation du souhait. En S06, libérer Jinny piège Phoebe à sa place ; la fin de S02 présente une liberté devenue vie mortelle sans ce même remplacement final.	Conserver les variantes plutôt qu'une règle unique de succession. Possession du contenant, statut du génie et vœux encore disponibles doivent être établis. Aucun souhait formulé par le joueur ne garantit sa réalisation littérale.	Bouteille liée à un génie qui exauce un nombre limité de vœux. Les conditions de liberté et les conséquences des souhaits dépendent du génie et de son enchantement.
Boîte de Pandore	Pandora%27s_Box	S07E18	Boîte contenant les maux que Nina, puis Hope, doivent garder. La charge passe à Hope après la mort de Nina ; l'objet tente sa gardienne et son ouverture libère les maux. La gardienne intervient aussi dans leur rappel.	L'affirmation d'indestructibilité par Katya reste une affirmation de personnage, pas une épreuve de tous les moyens. Ne pas confondre avec le Hollow ou le coffre des péchés. Un détenteur quelconque n'acquiert pas automatiquement les fonctions de la gardienne.	Boîte contenant des maux surnaturels et confiée à une gardienne. Elle exerce une tentation sur celle qui doit la garder fermée.
Coffre des sept péchés capitaux	Seven_Deadly_Sins	S03E18 S08E20	Coffre associé à des sphères qui contaminent leurs victimes par les péchés capitaux. L'influence amplifie une disposition jusqu'à des comportements dangereux. Dans Sin Francisco, le désintéressement intervient dans la libération ; l'orgueil de Prue constitue une exception importante.	Distinguer le contenant, les sphères et l'action de Lukas. Une recette uniforme fondée sur un seul geste altruiste ferait disparaître l'exception de l'orgueil. La réutilisation en S08 ne dispense pas d'établir le contenu disponible.	Coffre contenant des manifestations des sept péchés capitaux, capables d'amplifier dangereusement les dispositions des personnes qu'elles contaminent.
Baguette de Lukas	Sin_Francisco	S03E18	Lukas utilise une baguette pour ouvrir un passage vers un lieu de tourment. Prue peut s'en servir pour refermer le passage.	Le contre-usage montre qu'elle n'est pas exclusivement manipulable par Lukas. Il ne démontre pas un choix libre de n'importe quelle dimension, époque ou destination. La corruption par les péchés est distincte de cette fonction de passage.	Baguette employée par Lukas pour ouvrir un passage vers un lieu de tourment et susceptible de le refermer.
Cage de la Prophétesse	The_Seer%27s_Cage;Womb_Raider/Script	S04E21	Prison permettant une action magique vers l'intérieur tout en empêchant une attaque de sortir. Les sœurs peuvent y employer une protection : ce n'est pas un espace sans aucune magie. Après la confrontation explosive, Piper peut en sortir en forçant la cage.	L'indestructibilité annoncée doit être rapprochée de cette sortie après neutralisation. Les résumés ne départagent pas avec certitude le rôle de l'explosion et celui de la mort de la Prophétesse. Ne pas acter que toute mort du propriétaire détruit automatiquement sa cage.	Cage enchantée qui laisse entrer la magie tout en empêchant des attaques magiques de sortir. Son confinement dépend du maintien de son enchantement.
Cage aquatique de la Crone	Sense_and_Sense_Ability;Sense_and_Sense_Ability/Script	S05E20	La Crone enferme Leo dans un récipient rempli d'eau pour l'empêcher d'avertir les sœurs. Piper brise le contenant et permet sa libération.	Cette cage ne partage pas automatiquement les propriétés de celle de la Prophétesse. Le précédent établit la captivité de Leo dans ce dispositif, pas une capture universelle de toute entité par toute eau.	Prison aquatique utilisée par la Crone pour retenir Leo ; son contenant peut être brisé.
Urne des pouvoirs divins	Urn_of_Divine_Powers	S05E22 S05E23	Réceptacle de puissances divines que Leo mobilise pour transformer temporairement les sœurs en déesses lors de la menace des Titans. Il reprend ensuite ces pouvoirs.	L'urne conserve des puissances disponibles ; elle n'en fabrique pas à l'infini. Détention du récipient, invocation et choix des bénéficiaires restent distincts. Les effets psychologiques des transformations doivent être suivis selon chaque sœur.	Urne contenant des puissances divines susceptibles d'être conférées temporairement à des bénéficiaires par un intermédiaire capable de les mobiliser.
Maison de poupées Halliwell	Doll_House	S07E17 S08E13	Réplique du manoir utilisée comme espace de captivité miniature. En S07, Wyatt réduit ses parents et les protège ; en S08, des démons exploitent un dispositif de miniaturisation et des doubles pour détourner les pouvoirs des sœurs. Une communication extérieure est possible via la planchette spirite.	La réduction, la protection et le vol de pouvoirs dépendent d'intervenants et de dispositifs précis : la maquette ne les produit pas tous spontanément. Sa destruction et la libération doivent rester liées à l'intrigue concernée, sans fusionner les deux épisodes.	Réplique miniature du manoir pouvant servir d'espace de confinement lorsqu'elle est associée à une magie de miniaturisation.
Tableau maudit de Nell	Cursed_Painting	S02E03	Tableau contenant une prison pour Malcolm. Une inscription cachée sous la peinture attire à l'intérieur celui qui la lit ; une autre formule permet la sortie. Brûler le tableau menace ceux qui s'y trouvent.	Le seul regard porté sur l'image n'est pas établi comme déclencheur. Les captifs et les textes d'entrée et de sortie comptent. Sa destruction finale interdit de supposer l'exemplaire intact après l'épisode sans justification.	Tableau-prison dont une inscription provoque l'entrée. Sa matière reste liée au sort des personnes enfermées.
Roman Crossed, Double-Crossed	Crossed%2C_Double-Crossed	S07E08	Roman enchanté de Mullen qui attire des lecteurs dans son intrigue noire. Les pouvoirs actifs y sont neutralisés. Depuis l'extérieur, des personnages peuvent écrire des rebondissements, mais les protagonistes doivent accomplir l'histoire ; un mort n'en ressort pas vivant.	Écrire une fin arbitraire ne garantit pas de libérer les captifs. L'achèvement de l'histoire et sa neutralisation affectent la réutilisation du livre. Ce fonctionnement fictionnel n'est pas une règle générale à imposer au jeu.	Roman enchanté capable d'enfermer des lecteurs dans son histoire, où leurs pouvoirs actifs sont neutralisés. Le récit peut être influencé depuis l'extérieur.
Appareil photo de Vaklav	Vaklav%27s_Camera;The_Lost_Picture_Show/Plot;The_Lost_Picture_Show/Script	S08E07	Appareil qui emprisonne les personnes photographiées dans des images assemblées par Vaklav. Paige peut l'utiliser contre son propriétaire. Le résumé détaillé et la transcription indexée placent la libération de Sam, puis des autres captifs, lorsque Paige l'appelle « Dad », avant la photographie qui piège Vaklav.	La formulation de la page de l'objet doit être nuancée par cette chronologie : photographier Vaklav n'est pas la cause de la libération collective décrite. Le lien entre Paige et Sam est invoqué dans le dialogue ; sa généralisation à tout captif n'est pas établie. Aucun visionnage effectué.	Appareil photo capable de piéger des personnes dans ses images, y compris lorsqu'il est retourné contre son propriétaire.
Planchette spirite des Halliwell	Spirit_Board	S01E01 S02E21 S08E13	Support de communication surnaturelle qui guide Phoebe vers le grenier au début de la série. Dans Repo Manor, les sœurs miniaturisées peuvent communiquer avec Billie par son intermédiaire : les correspondants ne sont donc pas nécessairement des morts. La planchette peut être endommagée.	La réponse reçue ne certifie pas à elle seule l'identité, l'exhaustivité ou l'honnêteté de l'interlocuteur. La disponibilité du support et l'existence d'un interlocuteur doivent être distinguées.	Planche et curseur permettant une communication surnaturelle, y compris avec des personnes vivantes dans certaines situations magiques.
Alliance ensorcelée de Grams	Grams%27s_Ring	S04E12 S08E20	Bague qui impose à Phoebe un idéal de femme au foyer et modifie son apparence jusque dans une représentation en noir et blanc. Son influence entrave aussi sa volonté de s'en séparer ; le retrait met fin à la transformation.	Ce n'est pas la bague à fleur utilisée dans Witchstock. L'effet provient d'un enchantement et du modèle de comportement qu'il véhicule, pas d'une propriété générale de toute alliance familiale.	Alliance ensorcelée qui pousse sa porteuse à incarner un idéal de femme au foyer et peut transformer son apparence.
Vêtements de Grams renvoyant à leur propriétaire	Grams%27s_Go-Go_Boots;Witchstock	S06E11	Les bottes de Grams portent un enchantement de retour à leur propriétaire : Paige est renvoyée en 1967. Piper utilise les boucles d'oreilles et Phoebe une bague à fleur dans la même intrigue. Penny retire les objets pour permettre leur retour.	Trois accessoires nommés, un mécanisme familial regroupé ici : bottes, boucles d'oreilles, bague à fleur. Aucun choix libre d'époque n'est démontré. Ne pas confondre la bague à fleur avec l'alliance de Lost and Bound.	Accessoires de Grams portant un enchantement de retour à leur propriétaire, capable de ramener leur porteuse à une époque antérieure.
Bâton mystique de Bouddha	Buddha%27s_Mystical_Staff	S08E14	Objet transmis entre gardiens du zodiaque au nouvel an. Il peut projeter la volonté et l'état intérieur de son détenteur, avec des effets même involontaires. Son passage à minuit constitue un moment de vulnérabilité exploité dans l'intrigue.	L'effet dépend du porteur et de ses intentions ; ne pas en faire un contrôle parfaitement précis. La garde et la transmission font partie de sa disponibilité. Le nom et la mythologie sont ceux de la fiction, pas une affirmation sur le bouddhisme réel.	Bâton mystique capable de projeter la volonté de son détenteur, avec des effets qui peuvent dépasser ses intentions conscientes.
Ceinture dorée de Gaïa	Golden_Belt_of_Gaea	S08E08	Ceinture associée à Hippolyta. Elle amplifie notamment force, vitesse et capacités offensives de Billie, mais sa puissance menace sa santé et son équilibre mental. Zira, maléfique, est détruite lorsqu'elle essaie de la porter. Un sort intervient pour en débarrasser Billie.	Ne pas traiter tous les porteurs comme compatibles ni cet équipement comme sans coût. Les capacités propres de Billie, notamment la projection, ne doivent pas toutes être attribuées à la ceinture.	Ceinture amplifiant fortement les capacités de sa porteuse, au risque d'épuiser sa vie et sa raison. Elle n'est pas compatible avec tout être.
Cristal de Kasimar	Crystal_of_Kasimar;Battle_of_the_Hexes/Script	S08E08	Sollal évoque un cristal dont les pouvoirs seraient dormants en cherchant l'origine d'une émission magique. Il comprend ensuite qu'il s'agit de la ceinture de Gaïa. Le nom apparaît aussi avec la graphie Kazimar dans une transcription.	Mention d'existence, sans démonstration d'un effet du cristal. Ne pas lui attribuer les pouvoirs de la ceinture. Réveil, activation et capacités ne sont pas établis ; conserver comme objet à documenter plutôt que comme ressource fonctionnelle.	Cristal mentionné comme porteur de pouvoirs dormants. Sa fonction et son activation restent inconnues dans les éléments relevés.
