id	titre	typeCollectif	episodesReperes	canon	limitesEtIncertitudes	carteProposee	identifiantExistant	origineAjustements	sources
org-ordo	Ordo Malorum	hiérarchie démoniaque	S02E15	Litvack est présenté comme un général de cette hiérarchie maléfique. Ses serviteurs exécutent des missions, notamment dans l’intrigue où Bane et Prue sont menacés. La documentation associe le groupe à un commandement militaire démoniaque.	La structure complète et l’effectif ne sont pas établis. Les descriptions reproduisant le Livre des Ombres restent des reproductions secondaires. Ne pas donner à tous les soldats les pouvoirs personnels de Litvack ni confondre ce groupe avec tout le Mal.	Ordo Malorum — Hiérarchie démoniaque comprenant des généraux et des serviteurs chargés de leurs opérations.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Litvack [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Level_Two_Demon [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Give_Me_a_Sign [extrait_indexe_secondaire]
org-cour-source	Cour et hiérarchie de la Source	régime et entourage	S03E22 ; S04E13 ; S04E19 ; S04E21	La Source gouverne à travers des agents, conseillers et exécutants. Les changements de titulaire et les intrigues de cour structurent les alliances démoniaques. Ce dossier décrit l’entourage et le commandement, tandis que la Source elle-même reste un personnage ou un titre.	Intitulé de classement proposé. Ne pas transformer chaque démon en subordonné loyal : rivalités, dissidences et succession existent. Les pouvoirs du souverain ne sont pas des capacités communes à la cour. Composition exacte à fixer selon l’épisode.	Cour de la Source — Entourage de dirigeants, conseillers et agents démoniaques réunis autour du détenteur du titre de Source.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/The_Source_of_All_Evil [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Unnamed_Half-Faced_Source [extrait_indexe_secondaire]
org-cavaliers	Les Quatre Cavaliers de l’Apocalypse	équipe	S02E21	Guerre, Mort, Discorde et Famine préparent l’Apocalypse au service de la Source. La disparition de Guerre dans une autre dimension compromet leur opération ; une négociation survient parce que Prue y est aussi prisonnière. La Source punit leur échec.	Ne pas substituer les quatre figures de la tradition biblique aux quatre noms de la série. Le cavalier Mort n’est pas l’Ange de la mort. Leur coopération montre une dépendance opérationnelle, sans fournir une règle générale de nombre pour d’autres groupes.	Les Quatre Cavaliers — Équipe de Guerre, Mort, Discorde et Famine, mobilisée pour provoquer l’Apocalypse et coordonner ses effets.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Four_Horsemen_of_the_Apocalypse [extrait_indexe_secondaire]
org-valkyries	L’ordre des Valkyries	ordre guerrier	S06E01 ; S06E02	Communauté de guerrières, notamment Freyja, Mist et Kara, qui recrute des âmes de guerriers et les entraîne pour une bataille finale. Leo se trouve captif dans ce dispositif à la suite de l’accord passé par Chris. Des guerriers échappés deviennent une menace dans le monde humain.	La mission guerrière ne garantit pas le consentement de tous les recrutés. Les pendentifs, transformations et accès ne rendent pas tout porteur membre fidèle de l’ordre. Ne pas importer les règles des mythes nordiques comme règles de Charmed.	Valkyries — Ordre de guerrières recrutant et entraînant des âmes combattantes. Possède ses traditions, ses équipements et sa discipline.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Valkyrie [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Valhalley_of_the_Dolls%2C_Part_1/Script [extrait_indexe_secondaire]
org-academie-kellman	Académie de Kellman	organisation de recrutement	S03E12	Kellman dirige un dispositif qui attire des humains par la réussite avant de les former à devenir démons. Le parcours de Tom montre entraînement, grades et meurtre d’un innocent comme étape décisive. Son sauvetage interrompt sa transformation.	Ne pas confondre cette académie avec celle de Ludlow, qui reçoit des enfants dotés de pouvoirs. La mort de Kellman ne documente pas le devenir de chaque recruteur ni une disparition mondiale du système.	Académie de Kellman — Organisation recrutant des humains et les formant à la condition démoniaque par un parcours d’épreuves et de grades.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/The_Academy [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Kellman [extrait_indexe_secondaire]
org-academie-ludlow	Académie démoniaque de Ludlow	institution	S04E12	Ludlow exploite des enfants aux pouvoirs utiles à la Source. Des parents d’accueil démoniaques cherchent à lui livrer Tyler, dont la pyrokinesie intéresse cette formation de futurs gardes. Les sœurs interviennent contre ce recrutement contraint.	Ne pas importer les aventures de Tyler avec les Archai des comics. Le recrutement d’enfants magiques distingue ce dispositif de l’académie de Kellman. L’état de tous les autres élèves et recruteurs après l’épisode reste à vérifier.	Académie de Ludlow — Institution démoniaque recrutant des enfants dotés de pouvoirs pour les former au service de la Source.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Tyler_Michaels [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Lost_and_Bound [extrait_indexe_secondaire]
org-zodiaques	Les douze Zodiaques	collège de gardiens	S08E14	Douze gardiens préservent un cycle annuel par la transmission du bâton de Bouddha. La mort du Coq affaiblit le collectif. Ils accusent d’abord Piper de vol avant de comprendre sa protection de l’objet. Lo Pan, d’abord gardien du jardin, remplace finalement le Coq puis transmet le bâton.	Les barrières sont observées collectivement. Les périodes de détention du bâton contraignent sa transmission ; être le successeur attendu n’autorise pas à le prendre trop tôt. Ne pas présenter ces règles fictionnelles comme celles d’une religion réelle.	Les douze Zodiaques — Collège de gardiens assurant la transmission annuelle du bâton de Bouddha et la continuité du cycle qu’il soutient.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/The_Chinese_Zodiacs [extrait_indexe_secondaire]
org-titans	Trio des Titans libérés	coalition	S05E22 ; S05E23	Cronus, Demitrius et Meta cherchent à reprendre le pouvoir et à se venger des Fondateurs après leur libération. Leurs capacités sont considérables, mais leur entente est fragile : Cronus tue Meta malgré sa résistance aux attaques des sœurs.	Il s’agit du trio montré, pas d’un inventaire de toutes les divinités grecques. Les graphies Demitrius et Demetrius varient dans les pages. Résistance à certaines attaques et impossibilité absolue d’être détruit sont différentes.	Titans libérés — Coalition de puissants êtres anciens cherchant à rétablir leur domination et à renverser les Fondateurs.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/The_Titans [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Oh_My_Goddess%21_Part_1/Plot [extrait_indexe_secondaire]
org-leprechauns	Communauté et conseil des Leprechauns	communauté organisée	S05E17	Face à Saleel, Seamus et un groupe de Leprechauns mettent leur chance en commun. Leur conseil hésite entre fuite et résistance ; après la mort de Seamus, la communauté se mobilise et le conseiller dirige l’intervention. Or et shillelaghs participent à leurs pratiques.	La page qualifie le conseiller de chef présumé de cette tribu : ne pas en faire le souverain de tous les Leprechauns. La solidarité observée dans cette crise ne signifie pas une aide automatique à chaque sollicitation.	Communauté des Leprechauns — Groupe organisé autour d’un conseil, capable de réunir ses moyens liés à la chance et à ses instruments magiques.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Head_Councilman [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Lucky_Charmed [extrait_indexe_secondaire]
org-charmed	Les Charmed Ones	sororité	S01E01 ; S04E01	Sororité issue de la lignée Warren et vouée à protéger les innocents. Prue, Piper et Phoebe forment le trio des premières saisons ; après la mort de Prue, Paige rejoint Piper et Phoebe et reconstitue le Pouvoir des Trois.	Quatre sœurs identifiées dans l’histoire ne signifient pas quatre membres simultanément actifs dans un même trio. Les pouvoirs et altérations individuels restent datés. Les développements posthumes de Prue tirés des comics sont exclus.	Les Charmed Ones — Sororité de trois sorcières unies par le Pouvoir des Trois. Leur magie collective complète les aptitudes propres à chacune.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/The_Charmed_Ones [extrait_indexe_secondaire]
org-rowe	Coven Rowe	fratrie	S01E18	Greg et Paul Rowe veulent que leur demi-frère Brendan complète une triade maléfique en tuant un innocent. Brendan refuse cette trajectoire et cherche à devenir prêtre. La fratrie se désagrège au lieu de réaliser le destin annoncé.	La prophétie et les ambitions des deux frères ne suppriment pas le choix de Brendan. Distinguer un groupe projeté, sa réunion effective et un pouvoir collectif réalisé. Ne pas distribuer une puissance annoncée comme déjà disponible.	Coven Rowe — Fratrie de warlocks liée à la perspective d’un pouvoir collectif maléfique, avec des engagements profondément divergents.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Rowe_Coven [extrait_indexe_secondaire]
org-phoenix	Lignée des Phoenix	clan d’assassines	S06E10	Lignée de sorcières assassines à laquelle appartiennent Lynn et Bianca. La Bianca adulte d’un futur dominé par Wyatt reçoit une mission concernant Chris, mais son attachement à lui contrarie sa fidélité attendue. Le signe du phénix est décrit comme une marque de naissance.	Ne pas confondre marque héréditaire et tatouage d’adhésion. Bianca enfant du présent et adulte du futur ne sont pas interchangeables. La réputation du clan ne fixe pas les choix de chaque membre ni un catalogue de pouvoirs identiques.	Phoenix — Lignée de sorcières assassines reconnues par une marque de phénix, disposant de traditions et de compétences transmises dans le clan.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Phoenix_%28Assassin_Witches%29 [extrait_indexe_secondaire]
org-stillman	Les sœurs Stillman	coven familial	S06E04	Mabel, Mitzy et Margo sont trois sorcières escroqueuses. Des opérations distinctes leur permettent d’usurper l’identité des Halliwell puis leurs pouvoirs. Leur rivalité interne affaiblit leur entreprise. Le recours à une potion de déplacement ne prouve pas une téléportation innée.	Le même symbole que celui du Triple Croissant ne démontre pas une affiliation. Dater les pouvoirs volés ; ne pas les conserver après leur restitution. L’identité usurpée et l’identité réelle doivent rester liées dans le catalogue.	Sœurs Stillman — Trio de sorcières pratiquant l’escroquerie et des sorts d’usurpation. Peuvent coordonner leur magie malgré leurs rivalités.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Stillman_Sisters [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/The_Power_of_Three_Blondes [extrait_indexe_secondaire]
org-jenkins	Billie et Christy — Ultimate Power	sororité	S08E18 ; S08E21 ; S08E22	La Triade et Dumain cherchent à utiliser les sœurs Jenkins contre les Halliwell. Christy, conditionnée depuis son enlèvement, entraîne Billie dans cette lecture du conflit. Billie comprend finalement la manipulation et s’oppose à Christy ; leur alliance prend fin.	Leur opposition n’est pas une nature maléfique innée. Les explications de Prue sur un Pouvoir des Trois incomplet appartiennent aux comics et sont exclues. Le titre Ultimate Power peut aussi désigner d’autres forces : conserver l’identité des sœurs.	Sœurs Jenkins — Duo de sorcières capables de conjuguer leurs pouvoirs. Leur lien familial et leurs convictions orientent une coopération qui peut évoluer.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/The_Ultimate_Power [extrait_indexe_secondaire]
org-eva	Coven d’Eva	coven historique	S03E04	En 1670, le coven protège Charlotte et l’enfant qui deviendra Melinda Warren. Eva et les autres utilisent la puissance de la nuit d’Halloween pour appeler les sœurs et leur transmettent des pratiques de magie naturelle utiles à cette époque.	Le nom du groupe est descriptif. Distinguer pratiques rituelles de ce coven et pouvoirs modernes des Halliwell. La protection de l’enfant motive leur action sans donner à tous une connaissance complète de la descendance future.	Coven d’Eva — Cercle de sorcières du XVIIe siècle maîtrisant des pratiques de magie naturelle et des rituels collectifs.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Eva [extrait_indexe_secondaire]
org-penny	Cercle de sorcières de Penny	coven historique	S06E11	Les souvenirs de la jeunesse de Penny montrent un cercle de sorcières et des réunions collectives, notamment dans Witchstock. Son histoire comprend aussi des relations ultérieures avec les anciennes participantes du club de bridge.	Intitulé descriptif ; effectif et continuité institutionnelle non établis. Le groupe de Gail recoupe ce réseau sans que la trahison de Gail puisse être attribuée à Penny. La chronologie familiale de Witchstock exige un contrôle spécifique avant datation fine.	Cercle de Penny — Réseau de sorcières entretenant des liens personnels et des pratiques collectives autour de Penny Halliwell.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Coven [extrait_indexe_secondaire]
org-gail	Coven de Gail, Helen et Amanda	coven	S02E17	Anciennes connaissances de Penny, Gail, Helen et Amanda concluent avec Cryto un marché de rajeunissement. Elles trompent les sœurs pour s’emparer de leurs pouvoirs. Le marché se retourne contre elles, et Gail exprime des regrets.	Le trio constitue le groupe de cette intrigue, pas une preuve que tout le cercle historique de Penny serait maléfique. Leurs motivations personnelles ne rendent pas leurs pouvoirs permanents ni leur alliance avec Cryto sûre.	Coven de Gail — Trio de sorcières liées à l’ancien entourage de Penny, disposant de connaissances rituelles et de pratiques collectives.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Gail_Altman [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Amanda [extrait_indexe_secondaire]
org-janna	Coven de Janna	coven	S03E20	Janna appartient à un coven dont les connaissances en herbes et potions contribuent à préparer une aide pour Cole. Une partie d’une amulette est confiée à sa garde. Son implication la place sur la trajectoire de Raynor et de Belthazor.	La mort de Janna ne renseigne pas sur celle de tous les membres. La garde d’une moitié d’amulette ne garantit pas l’accès à l’autre. Direction et effectif complets restent insuffisamment documentés.	Coven de Janna — Cercle de sorcières disposant de connaissances en herboristerie et en préparation de potions, associé à la garde d’une amulette.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Janna [extrait_indexe_secondaire]
org-triple-croissant	Triple Crescent Coven — Triple Croissant	coven de pratiquants	S04E08	Coven associé à Kari et Susan Coleman, identifié par un pendentif à trois croissants. La documentation distingue ses pratiques de celles de sorcières possédant des pouvoirs innés. Kari est victime de Sykes, qui vise des femmes ressemblant à sa cible.	Ne pas confondre pratique de sorcellerie et pouvoirs actifs héréditaires. Le motif des Stillman ne démontre pas une organisation commune. Traduction française de travail ; absence de pouvoirs innés rapportée pour ce groupe, pas pour tous les covens.	Triple Croissant — Coven de pratiquants de sorcellerie identifié par un pendentif à trois croissants, sans pouvoirs innés établis pour ses membres décrits.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Triple_Crescent_Coven [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Kari [extrait_indexe_secondaire]
org-montana	Famille Montana	clan familial	S06E05 ; S06E15	Famille de sorciers engagée dans une longue vendetta avec les Callaway. Richard appartient à ce clan, qui conserve livres, ingrédients et potions. L’intrigue des deux familles montre l’épuisement d’une hostilité dont l’origine est devenue obscure et la recherche d’une paix.	Les capacités propres à Richard ne s’étendent pas à chacun. Sa renonciation personnelle à la magie ne supprime pas celle de sa famille. Une parenté ne garantit ni l’accord de tous ni la disponibilité de toutes les réserves.	Famille Montana — Clan de sorciers disposant d’un patrimoine de connaissances et de préparations magiques, marqué par sa rivalité avec les Callaway.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Montana_Family [extrait_indexe_secondaire]
org-callaway	Famille Callaway	clan familial	S06E05	Clan de sorciers rival des Montana. Olivia, morte mais toujours attachée à Richard, intervient comme esprit et contribue à relancer la violence, y compris contre sa propre famille. La confrontation révèle des responsabilités plus complexes qu’une opposition simple entre deux camps.	Ne pas attribuer à toute la famille les actes d’Olivia ni sa capacité de possession. Certains prénoms secondaires proviennent des crédits ou du wiki et demandent contrôle. La trêve doit être datée avant de décrire leur politique actuelle.	Famille Callaway — Clan de sorciers engagé dans une histoire de rivalités avec les Montana, avec des positions individuelles qui peuvent diverger.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Callaway_Family [extrait_indexe_secondaire]
org-devlin	Groupe de Devlin	faction	S04E09	Devlin tente de fédérer des warlocks pendant l’affaiblissement de la Source. Un anneau lui permet de capturer des muses afin d’exploiter leur inspiration. Sa brutalité envers les opposants montre un recrutement soumis à sa propre ambition.	Nom descriptif, sans raison sociale officielle. Les facultés de l’anneau ne sont pas des pouvoirs innés communs à la faction. La présence de muses captives n’en fait pas des adhérentes volontaires.	Groupe de Devlin — Faction de warlocks recrutés autour d’une ambition de pouvoir et de moyens permettant d’exploiter l’inspiration des muses.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Muse_to_My_Ears/Plot [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Muse_to_My_Ears/Script [extrait_indexe_secondaire]
